,cities,cloudiness,country,humidity,lat,lng,temp,wind
49,busselton,0.0,AU,64.0,-33.64,115.35,69.01,36.69
50,itarema,0.0,BR,91.0,-2.92,-39.92,72.98,6.08
51,tiksi,51.0,RU,53.0,71.64,128.87,59.84,4.74
52,hermanus,73.0,ZA,91.0,-34.42,19.24,57.99,3.0
53,kavieng,100.0,PG,73.0,-2.57,150.8,84.68,17.27
54,george,96.0,NG,92.0,6.63,3.35,75.5,7.74
55,chuy,100.0,UY,63.0,-33.69,-53.46,47.78,16.73
56,puerto ayora,18.0,EC,85.0,-0.74,-90.35,72.08,10.22
57,pangnirtung,0.0,CA,52.0,66.15,-65.72,51.02,2.62
58,nowy dwor gdanski,0.0,PL,82.0,54.21,19.12,75.0,1.12
59,kisangani,93.0,CD,98.0,0.52,25.21,69.74,2.26
60,nanortalik,100.0,GL,81.0,60.14,-45.24,44.9,6.13
61,saint-louis,0.0,CH,94.0,47.59,7.56,73.4,4.7
62,montepulciano,0.0,IT,77.0,43.09,11.78,72.0,8.05
63,vaini,75.0,IN,88.0,15.34,74.49,75.2,6.93
64,butaritari,100.0,KI,69.0,3.07,172.79,84.32,8.21
65,leningradskiy,78.0,RU,88.0,69.38,178.42,35.0,17.31
66,ponta do sol,96.0,BR,66.0,-20.63,-46.0,65.6,3.74
67,kapaa,90.0,US,94.0,22.08,-159.32,77.0,5.82
68,boyolangu,1.0,ID,52.0,-8.09,111.9,82.52,1.86
69,celestun,15.0,MX,75.0,20.87,-90.4,83.24,24.74
70,nikolskoye,0.0,RU,72.0,59.7,30.79,64.0,4.47
71,nuevo progreso,40.0,US,78.0,26.05,-97.95,82.4,10.29
72,iqaluit,20.0,CA,65.0,63.75,-68.52,46.4,4.7
73,avarua,32.0,CK,73.0,-21.21,-159.78,73.4,4.7
74,saint george,40.0,GR,73.0,39.45,22.34,75.99,1.19
75,cherskiy,67.0,RU,15.0,68.75,161.3,76.4,14.9
76,thetford mines,41.0,CA,97.0,46.09,-71.3,60.01,4.74
77,luderitz,0.0,NA,76.0,-26.65,15.16,50.0,3.36
78,clyde river,90.0,CA,100.0,70.47,-68.59,30.2,12.75
79,little current,1.0,CA,77.0,45.98,-81.93,62.6,8.05
80,los llanos de aridane,0.0,ES,72.0,28.66,-17.92,68.0,2.24
81,batemans bay,23.0,AU,64.0,-35.71,150.18,63.0,5.99
82,chokurdakh,0.0,RU,25.0,70.62,147.9,77.12,10.25
83,jamestown,0.0,AU,47.0,-33.21,138.6,61.82,11.14
84,san policarpo,96.0,PH,67.0,12.18,125.51,86.48,5.99
85,preobrazheniye,35.0,RU,52.0,42.9,133.91,78.92,5.88
86,mahebourg,75.0,MU,83.0,-20.41,57.7,75.2,16.11
87,ilulissat,93.0,GL,87.0,69.22,-51.1,42.8,5.82
88,tuktoyaktuk,90.0,CA,84.0,69.44,-133.03,39.2,19.46
89,aksha,100.0,RU,66.0,50.28,113.29,69.38,3.33
90,dingle,84.0,PH,73.0,11.0,122.67,86.12,8.43
91,point pleasant,1.0,US,78.0,40.08,-74.07,78.01,5.82
92,dmitriyevka,2.0,GE,80.0,43.08,41.0,77.3,4.94
93,gornopravdinsk,100.0,RU,76.0,60.06,69.92,51.02,12.64
94,chapais,90.0,CA,93.0,49.78,-74.86,59.0,11.41
95,port elizabeth,1.0,US,65.0,39.31,-74.98,77.0,5.82
96,kendari,31.0,ID,62.0,-3.99,122.52,85.04,1.14
97,qaanaaq,88.0,GL,88.0,77.48,-69.36,33.74,2.66
98,horsham,17.0,AU,66.0,-36.71,142.2,55.7,11.25
99,new norfolk,0.0,AU,50.0,-42.78,147.06,57.2,8.05
100,kununurra,15.0,AU,8.0,-15.77,128.74,80.6,14.99
101,landerneau,0.0,FR,93.0,48.45,-4.26,62.6,5.82
102,utinga,40.0,BR,88.0,-5.82,-35.4,75.2,3.36
103,sao filipe,0.0,CV,85.0,14.9,-24.5,74.42,17.94
104,cape town,0.0,ZA,81.0,-33.93,18.42,59.0,6.93
105,ekuvukeni,67.0,ZA,92.0,-28.47,30.16,42.02,3.29
106,marsh harbour,0.0,BS,70.0,26.54,-77.06,84.86,3.83
107,karakol,6.0,KG,50.0,42.49,78.39,63.08,3.06
108,gannan,100.0,CN,96.0,47.92,123.49,63.08,9.64
109,olinda,0.0,EC,78.0,-2.03,-79.75,75.2,10.29
110,ancud,90.0,CL,93.0,-41.87,-73.83,48.2,10.29
111,buraydah,0.0,SA,25.0,26.33,43.97,84.2,5.3
112,la asuncion,49.0,EC,86.0,-1.64,-78.74,46.7,7.0
113,albany,90.0,US,93.0,42.65,-73.75,73.4,5.86
114,kindersley,40.0,CA,77.0,51.47,-109.16,59.0,12.75
115,ocampo,100.0,PH,82.0,13.56,123.37,84.32,12.5
116,sena madureira,5.0,BR,83.0,-9.07,-68.66,72.98,2.21
117,castro,90.0,CL,93.0,-42.48,-73.76,48.2,10.29
118,tuni,0.0,BO,24.0,-16.67,-68.14,33.8,4.7
119,werda,0.0,DE,100.0,50.44,12.3,69.01,2.24
120,lata,10.0,IN,81.0,30.78,78.62,46.7,4.92
121,bethel,90.0,US,100.0,60.79,-161.76,66.2,17.22
122,banda aceh,97.0,ID,70.0,5.56,95.32,84.32,12.5
123,dennery,75.0,LC,94.0,13.9,-60.89,79.0,23.04
124,victoria,75.0,BN,74.0,5.28,115.24,87.8,3.36
125,bluefield,1.0,US,82.0,37.27,-81.22,66.2,5.82
126,yarmouth,100.0,GB,93.0,50.71,-1.5,64.99,8.05
127,riyadh,0.0,SA,11.0,24.63,46.72,91.4,5.82
128,frankfort,1.0,US,83.0,38.2,-84.87,73.4,3.36
129,mar del plata,100.0,AR,58.0,-46.43,-67.52,42.56,18.92
130,kaitangata,0.0,NZ,54.0,-46.28,169.85,52.0,3.0
131,huanren,100.0,CN,42.0,41.26,125.37,76.76,9.93
132,arraial do cabo,0.0,BR,79.0,-22.97,-42.02,73.7,9.95
133,alofi,99.0,NU,78.0,-19.06,-169.92,77.0,13.87
134,ulaangom,66.0,MN,26.0,49.98,92.07,62.54,15.52
135,wakkanai,75.0,JP,72.0,45.41,141.67,68.0,28.86
136,bluff,34.0,AU,66.0,-23.58,149.07,67.04,22.21
137,khor,100.0,RU,96.0,47.88,134.96,50.48,6.08
138,thompson,90.0,CA,87.0,55.74,-97.86,57.2,6.93
139,bathsheba,0.0,BB,74.0,13.22,-59.52,80.6,21.92
140,faanui,14.0,PF,78.0,-16.48,-151.75,79.64,13.65
141,egvekinot,73.0,RU,58.0,66.32,-179.17,46.52,5.86
142,port macquarie,75.0,AU,93.0,-31.43,152.91,62.6,8.05
143,pisco,20.0,PE,87.0,-13.71,-76.2,59.0,5.82
144,loveland,1.0,US,42.0,40.4,-105.08,71.6,9.17
145,oneonta,38.0,US,89.0,42.45,-75.06,64.0,5.08
146,ruteng,20.0,ID,38.0,-8.61,120.46,88.46,2.35
147,parana,6.0,BR,88.0,-7.52,-72.89,71.9,1.92
148,colares,75.0,PT,93.0,38.8,-9.45,66.0,3.36
149,hualmay,53.0,PE,85.0,-11.1,-77.61,62.72,15.57
150,saldanha,45.0,PT,79.0,41.42,-6.55,59.84,1.5
151,naryan-mar,39.0,RU,66.0,67.67,53.09,47.6,16.84
152,lagoa,40.0,PT,100.0,37.14,-8.45,68.0,4.7
153,cidreira,100.0,BR,81.0,-30.17,-50.22,51.56,14.92
154,urucara,82.0,BR,96.0,-2.54,-57.76,73.16,1.92
155,carnarvon,0.0,ZA,34.0,-30.97,22.13,43.28,10.47
156,ponta delgada,75.0,PT,82.0,37.73,-25.67,64.4,10.29
157,hobyo,27.0,SO,70.0,5.35,48.53,76.22,14.67
158,mount gambier,80.0,AU,63.0,-37.83,140.78,60.8,12.75
159,pindwara,17.0,IN,65.0,24.79,73.05,86.3,8.59
160,stephenville,1.0,US,78.0,32.22,-98.2,80.6,9.17
161,souillac,0.0,FR,83.0,45.6,-0.6,69.8,3.36
162,ostrovnoy,0.0,RU,63.0,68.05,39.51,49.58,12.48
163,dillon,20.0,US,76.0,45.22,-112.64,55.99,5.82
164,esperance,20.0,TT,78.0,10.24,-61.45,79.0,4.7
165,zaranj,0.0,AF,18.0,30.95,61.86,91.4,28.86
166,ketchikan,1.0,US,63.0,55.34,-131.65,66.2,14.99
167,norman wells,90.0,CA,87.0,65.28,-126.83,48.2,10.29
168,koshurnikovo,100.0,RU,98.0,54.3,93.39,49.04,2.15
169,sinnamary,100.0,GF,80.0,5.38,-52.96,81.08,13.2
170,vestmannaeyjar,92.0,IS,92.0,63.44,-20.27,52.1,16.28
171,zwedru,88.0,LR,99.0,6.07,-8.13,71.0,3.04
172,ghorawal,43.0,IN,38.0,24.75,82.78,97.28,15.9
173,severo-kurilsk,100.0,RU,94.0,50.68,156.12,43.64,22.41
174,narsaq,100.0,GL,76.0,60.91,-46.05,51.8,4.7
175,muros,0.0,ES,93.0,42.77,-9.06,64.99,1.12
176,marawi,100.0,PH,79.0,8.0,124.29,86.0,5.99
177,renqiu,76.0,CN,27.0,38.71,116.1,93.5,5.73
178,cabo san lucas,5.0,MX,44.0,22.89,-109.91,80.01,3.36
179,nyaunglebin,100.0,MM,80.0,17.95,96.73,83.78,4.61
180,dikson,87.0,RU,96.0,73.51,80.55,32.84,20.67
181,guane,0.0,CU,73.0,22.2,-84.09,84.68,14.97
182,deputatskiy,0.0,RU,32.0,69.3,139.9,73.7,14.72
183,luwuk,96.0,ID,88.0,-0.95,122.79,69.02,5.3
184,oussouye,20.0,SN,83.0,12.49,-16.54,78.8,9.17
185,port pirie,0.0,AU,37.0,-33.18,138.01,66.2,9.17
186,scarborough,100.0,GB,100.0,54.28,-0.41,55.0,9.17
187,fremont,20.0,US,56.0,37.55,-121.99,69.8,10.29
188,kalmunai,100.0,LK,60.0,7.42,81.82,84.5,4.5
189,imeni stepana razina,62.0,RU,78.0,54.89,44.3,53.72,6.6
190,zhigansk,47.0,RU,44.0,66.77,123.37,76.76,11.81
191,longyearbyen,75.0,NO,83.0,78.22,15.63,41.0,4.7
192,verkhnevilyuysk,0.0,RU,51.0,63.45,120.31,74.6,4.21
193,russkaya polyana,99.0,RU,73.0,53.78,73.88,71.54,12.35
194,pacific grove,1.0,US,72.0,36.62,-121.92,68.0,8.05
195,den helder,90.0,NL,100.0,52.96,4.76,66.0,10.29
196,iberia,2.0,PE,78.0,-11.41,-69.49,73.88,2.89
197,saint-augustin,0.0,FR,93.0,44.83,-0.61,69.01,2.24
198,chatra,40.0,IN,47.0,24.21,84.87,98.6,11.41
199,iracoubo,100.0,GF,94.0,5.48,-53.21,75.32,4.27
200,moranbah,0.0,AU,47.0,-22.0,148.04,71.18,17.18
201,parabel,100.0,RU,66.0,58.71,81.5,71.0,11.97
202,lebedinyy,42.0,RU,49.0,58.52,125.52,64.16,7.99
203,nechi,93.0,CO,97.0,5.59,-75.16,57.99,4.0
204,pecanha,2.0,BR,94.0,-18.55,-42.56,59.48,2.37
205,la roda,0.0,ES,93.0,39.21,-2.16,70.0,5.82
206,sao joao da barra,3.0,BR,88.0,-21.64,-41.05,68.84,2.44
207,santa isabel do rio negro,56.0,BR,97.0,-0.41,-65.02,72.44,1.79
208,misratah,0.0,LY,80.0,32.38,15.09,76.22,3.83
209,novyy oskol,68.0,RU,81.0,50.76,37.86,57.32,6.4
210,porto novo,0.0,BR,77.0,-23.68,-45.44,62.6,11.39
211,qurbus,20.0,TN,83.0,36.82,10.57,73.4,4.7
212,namatanai,100.0,PG,81.0,-3.66,152.44,80.54,15.39
213,donskoye,40.0,RU,60.0,45.45,41.98,71.6,6.71
214,strelka,100.0,RU,59.0,58.08,93.03,74.24,6.24
215,bud,76.0,NO,76.0,62.91,6.91,53.6,6.93
216,carbonia,0.0,IT,88.0,39.17,8.53,75.0,2.24
217,bambous virieux,75.0,MU,83.0,-20.34,57.76,75.2,16.11
218,hami,75.0,CN,24.0,42.84,93.51,77.48,8.03
219,pitimbu,20.0,BR,94.0,-7.47,-34.81,73.4,4.7
220,bambanglipuro,0.0,ID,82.0,-7.95,110.28,74.6,4.61
221,upernavik,100.0,GL,88.0,72.79,-56.15,32.84,8.3
222,provideniya,90.0,RU,71.0,64.42,-173.23,50.0,22.37
223,cayenne,83.0,GF,94.0,4.94,-52.33,77.0,2.24
224,baykit,100.0,RU,30.0,61.68,96.39,78.02,2.84
225,mujiayingzi,100.0,CN,41.0,42.12,118.78,76.58,15.88
226,camacha,75.0,PT,72.0,33.08,-16.33,68.0,9.17
227,berja,75.0,ES,78.0,36.85,-2.95,71.6,3.36
228,cristalina,30.0,BR,64.0,-16.77,-47.61,64.16,4.12
229,klaksvik,93.0,FO,93.0,62.23,-6.59,50.0,12.75
230,palmer,1.0,US,49.0,61.6,-149.11,71.6,5.82
231,manaure,100.0,CO,82.0,11.78,-72.45,80.0,18.41
232,fukuma,75.0,JP,83.0,33.77,130.47,78.01,10.29
233,coquimbo,0.0,CL,76.0,-29.95,-71.34,48.2,9.17
234,medicine hat,75.0,CA,45.0,50.04,-110.68,66.2,8.05
235,chara,40.0,GR,73.0,39.42,22.43,75.99,1.19
236,raudeberg,75.0,NO,87.0,61.99,5.14,55.4,12.75
237,fare,0.0,PF,79.0,-16.7,-151.02,79.46,14.0
238,puerto escondido,5.0,MX,78.0,15.86,-97.07,80.6,5.82
239,kochubey,71.0,RU,58.0,44.39,46.54,78.92,6.06
240,saint-philippe,1.0,CA,73.0,45.36,-73.48,71.6,14.99
241,kruisfontein,100.0,ZA,91.0,-34.0,24.73,54.08,13.24
242,vao,100.0,EE,80.0,59.1,26.19,56.96,2.71
243,teknaf,100.0,BD,80.0,20.86,92.31,84.86,9.17
244,nichinan,75.0,JP,94.0,31.65,131.31,77.0,4.7
245,ust-tsilma,11.0,RU,57.0,65.44,52.15,52.64,3.8
246,ahipara,0.0,NZ,79.0,-35.17,173.16,58.22,13.82
247,miandrivazo,0.0,MG,81.0,-19.53,45.46,63.44,1.66
248,arcos,95.0,BR,74.0,-20.28,-45.54,65.42,4.12
249,altay,0.0,CN,42.0,47.83,88.13,54.08,0.92
250,pimentel,0.0,BR,95.0,-3.7,-45.5,71.18,1.72
251,barbastro,0.0,ES,77.0,42.04,0.13,75.0,8.05
252,neuquen,0.0,AR,29.0,-38.95,-68.06,51.8,17.22
253,tasiilaq,0.0,GL,86.0,65.61,-37.64,39.2,5.7
254,kloulklubed,90.0,PW,94.0,7.04,134.26,77.0,3.36
255,port hedland,22.0,AU,15.0,-20.31,118.58,82.4,14.99
256,saint-francois,9.0,FR,100.0,46.42,3.91,63.0,3.91
257,monster,75.0,NL,93.0,52.03,4.17,66.0,4.7
258,wanaka,0.0,NZ,77.0,-44.7,169.14,43.0,5.28
259,old saybrook,90.0,US,100.0,41.29,-72.38,71.6,2.91
260,christchurch,41.0,NZ,81.0,-43.53,172.64,51.01,9.17
261,nyandoma,100.0,RU,96.0,61.67,40.21,47.78,4.47
262,vilyuysk,0.0,RU,49.0,63.75,121.63,74.06,5.97
263,aljezur,21.0,PT,92.0,37.31,-8.8,68.0,3.0
264,sabya,81.0,YE,50.0,16.19,43.1,90.98,3.96
265,san luis,0.0,AR,28.0,-33.3,-66.34,42.74,10.31
266,tuatapere,99.0,NZ,81.0,-46.13,167.69,51.01,5.99
267,aksu,0.0,KZ,47.0,52.04,76.93,78.8,13.42
268,hay river,20.0,CA,55.0,60.82,-115.79,60.8,6.93
269,tulun,100.0,RU,94.0,54.56,100.58,57.5,9.98
270,pingliang,100.0,CN,17.0,35.54,106.68,77.0,10.27
271,sibu,75.0,MY,74.0,2.29,111.83,87.8,2.24
272,bucerias,75.0,MX,66.0,20.76,-105.33,86.0,4.7
273,ratanpur,40.0,IN,70.0,23.11,87.07,91.0,14.99
274,belozerskoye,79.0,RU,83.0,55.82,65.58,54.44,14.9
275,nome,40.0,US,88.0,30.04,-94.42,73.99,3.36
276,cegled,0.0,HU,100.0,47.17,19.8,75.0,3.36
277,sao felix do xingu,30.0,BR,78.0,-6.64,-51.99,72.08,2.91
278,grande prairie,75.0,CA,87.0,55.17,-118.79,55.4,11.41
279,sobolevo,67.0,RU,87.0,54.43,31.9,57.5,5.66
280,fantino,98.0,DO,96.0,19.12,-70.3,68.48,1.74
281,aranos,31.0,NA,31.0,-24.14,19.11,46.34,5.35
282,puerto madero,0.0,AR,45.0,-34.61,-58.36,46.99,5.82
283,khatanga,100.0,RU,62.0,71.98,102.47,59.12,15.68
284,swan river,100.0,CA,94.0,52.11,-101.27,53.18,2.82
285,cananeia,0.0,BR,75.0,-25.01,-47.93,67.76,4.38
286,vila franca do campo,75.0,PT,82.0,37.72,-25.43,64.4,10.29
287,norrkoping,100.0,SE,100.0,58.59,16.18,60.8,2.73
288,anadyr,90.0,RU,87.0,64.73,177.51,48.2,15.66
289,broken hill,0.0,AU,39.0,-31.97,141.45,64.4,13.87
290,normandin,90.0,CA,100.0,48.84,-72.53,60.8,3.36
291,lavrentiya,100.0,RU,52.0,65.58,-170.99,51.56,9.37
292,mildura,0.0,AU,48.0,-34.18,142.16,66.99,10.29
293,college,40.0,US,33.0,64.86,-147.8,75.2,6.93
294,moss vale,75.0,AU,55.0,-34.55,150.37,66.99,5.82
295,ambon,100.0,FR,100.0,47.55,-2.56,64.99,10.29
296,fort nelson,75.0,CA,47.0,58.81,-122.69,75.2,3.36
297,bongouanou,99.0,CI,99.0,6.65,-4.2,71.9,3.4
298,panshi,96.0,CN,50.0,42.94,126.05,77.3,15.21
299,khani,75.0,GE,94.0,41.96,42.96,77.0,2.24
300,liusha,36.0,CN,68.0,27.21,108.59,81.98,3.56
301,auki,80.0,NG,84.0,12.18,6.51,73.88,22.53
302,havre-saint-pierre,40.0,CA,76.0,50.23,-63.6,48.2,4.7
303,kidal,33.0,ML,19.0,18.44,1.41,85.22,3.89
304,kamenka,24.0,RU,82.0,53.19,44.05,54.98,8.08
305,henties bay,74.0,NA,97.0,-22.12,14.28,48.99,1.99
306,sorland,96.0,NO,88.0,67.67,12.69,47.96,15.79
307,berdigestyakh,69.0,RU,48.0,62.1,126.7,70.28,7.61
308,junin,0.0,PE,29.0,-16.45,-71.58,48.2,5.82
309,phangnga,20.0,TH,62.0,8.45,98.53,87.8,12.75
310,kamachumu,37.0,TZ,91.0,-1.62,31.62,63.08,1.28
311,labuhan,0.0,ID,56.0,-2.54,115.51,88.64,2.17
312,the valley,40.0,AI,78.0,18.22,-63.06,82.4,9.17
313,sorong,100.0,ID,86.0,-0.86,131.25,78.92,10.42
314,benghazi,2.0,LY,82.0,32.12,20.07,75.86,13.0
315,sitka,0.0,US,77.0,37.17,-99.65,72.0,3.0
316,hunterville,0.0,ZA,87.0,-26.77,27.93,48.2,12.75
317,necochea,1.0,AR,85.0,-38.55,-58.74,37.99,1.99
318,tual,100.0,ID,82.0,-5.67,132.75,78.74,24.52
319,san ignacio,100.0,CL,81.0,-36.8,-72.03,42.8,6.93
320,sivas,0.0,TR,82.0,39.75,37.01,59.0,6.93
321,acapulco,90.0,MX,94.0,16.86,-99.88,78.8,2.24
322,araouane,0.0,ML,10.0,18.9,-3.53,97.28,6.29
323,petropavlovsk-kamchatskiy,90.0,RU,100.0,53.05,158.65,46.4,11.18
324,mastic,90.0,US,94.0,40.8,-72.84,71.6,5.1
325,pachino,0.0,IT,68.0,36.72,15.09,69.8,4.7
326,serebryansk,0.0,KZ,66.0,49.68,83.3,61.64,2.66
327,camapua,0.0,BR,54.0,-19.53,-54.04,66.32,10.45
328,umm kaddadah,100.0,SD,48.0,13.6,26.69,83.6,12.28
329,yar-sale,64.0,RU,57.0,66.83,70.83,48.14,12.86
330,margate,0.0,AU,50.0,-43.03,147.26,57.2,8.05
331,gamba,31.0,CN,49.0,28.28,88.52,48.86,6.38
332,purwodadi,20.0,ID,48.0,-7.08,110.92,87.8,14.99
333,sistranda,75.0,NO,76.0,63.73,8.83,50.0,4.7
334,cockburn town,0.0,TC,79.0,21.46,-71.14,80.9,15.26
335,talnakh,75.0,RU,52.0,69.49,88.39,42.8,8.95
336,touros,40.0,BR,88.0,-5.2,-35.46,73.4,3.36
337,chernyshevsk,100.0,RU,35.0,52.51,117.01,75.5,15.3
338,arlit,0.0,NE,25.0,18.74,7.39,90.8,5.39
339,raditsa-krylovka,0.0,RU,72.0,53.32,34.36,60.8,3.29
340,fairbanks,40.0,US,33.0,64.84,-147.72,73.4,6.93
341,atar,0.0,MR,15.0,20.52,-13.05,92.06,18.63
342,aswan,0.0,EG,22.0,24.09,32.9,89.6,6.93
343,beyneu,60.0,KZ,23.0,45.32,55.19,90.08,8.61
344,muzaffargarh,0.0,PK,56.0,30.08,71.19,93.2,6.93
345,senneterre,1.0,CA,82.0,48.39,-77.24,64.4,10.29
346,brainerd,1.0,US,72.0,46.36,-94.2,63.0,3.36
347,yakeshi,100.0,CN,74.0,49.28,120.73,66.14,19.77
348,aklavik,75.0,CA,65.0,68.22,-135.01,41.0,13.87
349,mandera,41.0,ET,70.0,3.94,41.86,75.5,9.86
350,kailaras,10.0,IN,40.0,26.3,77.62,97.46,14.65
351,spencer,1.0,US,72.0,43.14,-95.14,71.6,3.36
352,nainpur,27.0,IN,54.0,22.43,80.11,89.54,10.36
353,kyren,100.0,RU,62.0,51.68,102.13,46.88,0.4
354,buin,0.0,CL,43.0,-33.73,-70.74,48.0,1.12
355,russell,0.0,AR,34.0,-33.01,-68.8,35.6,5.59
356,tambacounda,0.0,SN,74.0,13.77,-13.67,86.0,11.41
357,orlandia,0.0,BR,82.0,-20.72,-47.89,64.4,2.46
358,aguimes,20.0,ES,78.0,27.91,-15.45,71.6,16.11
359,geraldton,40.0,CA,93.0,49.72,-86.95,59.0,2.24
360,avera,1.0,US,88.0,33.19,-82.53,77.0,3.36
361,sola,20.0,FI,87.0,62.78,29.36,55.4,1.12
362,buala,16.0,SB,75.0,-8.15,159.59,83.96,8.43
363,hot springs,1.0,US,88.0,34.5,-93.06,79.0,4.7
364,chilliwack,1.0,CA,63.0,49.17,-121.95,66.99,4.38
365,chicama,90.0,PE,82.0,-7.84,-79.15,64.4,11.41
366,naze,100.0,NG,96.0,5.43,7.07,72.08,2.33
367,balotra,0.0,IN,45.0,25.83,72.24,93.32,12.06
368,quang ngai,100.0,VN,47.0,15.12,108.8,93.32,1.07
369,lasa,0.0,CY,60.0,34.92,32.53,80.6,4.7
370,uige,0.0,AO,84.0,-7.61,15.06,57.32,2.06
371,buluang,75.0,PH,62.0,10.47,123.98,89.6,12.75
372,juye,0.0,CN,40.0,35.39,116.09,87.74,6.04
373,dhidhdhoo,100.0,MV,77.0,6.88,73.1,83.06,11.36
374,praia,66.0,BR,82.0,-20.25,-43.81,62.0,1.79
375,villa constitucion,0.0,AR,58.0,-33.23,-60.33,42.01,3.36
376,teya,5.0,MX,55.0,21.05,-89.07,87.8,20.8
377,takoradi,98.0,GH,95.0,4.89,-1.75,72.8,5.1
378,ruangwa,0.0,TZ,94.0,-10.07,38.93,62.54,4.23
379,mehamn,75.0,NO,87.0,71.03,27.85,48.2,12.75
380,lakes entrance,0.0,AU,54.0,-37.88,147.99,57.99,1.99
381,kindu,80.0,CD,87.0,-2.95,25.92,71.72,1.54
382,vila velha,40.0,BR,74.0,-3.71,-38.6,80.6,14.99
383,terra santa,94.0,BR,88.0,-2.1,-56.49,74.96,2.75
384,pathein,100.0,MM,79.0,16.78,94.73,83.6,7.27
385,san quintin,99.0,PH,62.0,17.54,120.52,87.74,9.17
386,ayan,0.0,TR,84.0,40.67,33.6,58.58,2.71
387,erenhot,0.0,CN,17.0,43.65,111.97,83.42,6.49
388,yuanping,99.0,CN,42.0,38.72,112.71,73.34,6.26
389,sandpoint,1.0,US,44.0,48.28,-116.55,64.4,8.05
390,luba,99.0,PH,62.0,17.32,120.7,87.74,9.17
391,akdepe,0.0,TM,27.0,42.05,59.39,87.8,4.7
392,la ronge,75.0,CA,76.0,55.1,-105.3,57.2,2.24
393,kargasok,100.0,RU,62.0,59.06,80.87,71.36,9.62
394,beloha,0.0,MG,93.0,-25.17,45.06,60.74,4.43
395,znamenka,88.0,RU,77.0,52.41,41.44,56.78,6.06
396,acari,0.0,BR,63.0,-6.44,-36.64,73.34,18.23
397,viedma,100.0,AR,52.0,-40.81,-62.99,42.56,14.0
398,amuntai,1.0,ID,53.0,-2.42,115.25,91.34,2.13
